hardware_id	provider	inf_source	evidence
URS\QCOM0F8C&HOST	Qualcomm Technologies, Inc.	QcXhciFilter8480.inf	HP-SOFTWARE
URS\QCOM0FED&FUNCTION	Qualcomm Technologies, Inc.	QcUsbFnSsFilter8480.inf	HP-SOFTWARE
URS\QCOM0FED&HOST	Qualcomm Technologies, Inc.	QcXhciFilter8480.inf	HP-SOFTWARE
USB4\QCOM0GD10001	Qualcomm Technologies, Inc.	QcUsb4Filter8480.inf	HP-SOFTWARE
USBFN\ADPL_MDM	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\CCID	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\DIAG	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\DIAG_MDM	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\DPL	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\MODEM	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\NMEA	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\QDSS_MDM	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\RMNET	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USBFN\TRACE	Qualcomm	ufnserialcomposite.inf	HP-SOFTWARE
USB\VID_04F2&PID_B809&MI_00	Huaqin	CameraExtMEP.inf	HP-SOFTWARE
USB\VID_04F2&PID_B873&MI_00	Huaqin	CameraExtMEP.inf	HP-SOFTWARE
USB\VID_0637&PID_0001	ELAN	ETD.inf	HP-SOFTWARE
USB\VID_0A81&PID_0103&MI_00	ELAN	ETD.inf	HP-SOFTWARE
USB\VID_0A81&PID_0103&MI_01	ELAN	ETD.inf	HP-SOFTWARE
USB\VID_30C9&PID_00D9&MI_00	Huaqin	CameraExtMEP.inf	HP-SOFTWARE
USB\VID_30C9&PID_00FB&MI_00	Huaqin	CameraExtMEP.inf	HP-SOFTWARE
pci\Parameters	Qualcomm Inc.	qcppx8480.inf	HP-SOFTWARE
